epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1371.54,2.24817,3.30823,1.39948,0.57009,0.20623,0.12,0.04701,2.10755,2.44751,1.34317,0.000276543,0.000276543,0.000276543
2,2814.88,2.12436,2.38036,1.36547,0.54781,0.20468,0.1555,0.06137,2.08257,2.02159,1.34363,0.000499342,0.000499342,0.000499342
3,4336.48,2.10149,2.10169,1.37809,0.43491,0.22534,0.15728,0.06238,2.0611,1.93045,1.36562,0.000667164,0.000667164,0.000667164
4,5822.09,2.078,1.92422,1.37431,0.69582,0.19032,0.16963,0.06785,2.05607,1.86824,1.36088,0.000585599,0.000585599,0.000585599
5,7406.7,2.06697,1.85187,1.36778,0.31629,0.21916,0.18161,0.07476,2.03055,1.76571,1.37432,0.000503132,0.000503132,0.000503132
6,9694.04,2.05056,1.79624,1.35953,0.43517,0.22339,0.19899,0.08196,2.03288,1.75225,1.36373,0.000420665,0.000420665,0.000420665
7,12373.6,2.01295,1.75704,1.34599,0.44759,0.29395,0.20675,0.08875,2.01482,1.73357,1.36043,0.000338198,0.000338198,0.000338198
8,15057.2,2.00513,1.71811,1.34667,0.45907,0.27354,0.2156,0.09314,2.00735,1.6902,1.34924,0.000255731,0.000255731,0.000255731
9,17058,1.99749,1.69546,1.33865,0.51038,0.24866,0.22394,0.09254,1.99405,1.70808,1.34769,0.000173264,0.000173264,0.000173264
10,19104.1,1.97586,1.6691,1.32783,0.3445,0.29061,0.24678,0.10669,1.97752,1.66577,1.34561,9.0797e-05,9.0797e-05,9.0797e-05
